Cost,Emissions
1767.183373552,1143.4303011973998
1747.345441598,1108.2761858585995
1727.5075075000002,1090.2024232003996
1707.6695950500002,1084.4398316617996
1687.8316826000002,1078.6772405129996
1667.99377015,1072.9146493641995
1648.1558249000002,1067.1520582153996
1628.31791245,1061.3894666767997
1787.0212800000002,33132.99999999999
1608.4800000000002,1055.6268755279996
